--------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id    Marker lineage   # genomes   # markers   # marker sets   0     1    2    3    4   5+   Completeness   Contamination   Strain heterogeneity  
  bin_39       Bacteria         5449        104            58        19    74   9    2    0   0       76.77           13.11              13.33          
  bin_86       Bacteria         5449        104            58        14    88   2    0    0   0       76.72            2.59              50.00          
  bin_84       Bacteria         5449        104            58        29    68   7    0    0   0       76.55           11.21               0.00          
  bin_68       Bacteria         5449        104            58        20    74   8    2    0   0       76.04           15.52               0.00          
  bin_70       Bacteria         5449        104            58        44    53   7    0    0   0       75.97            9.48               0.00          
  bin_5        Bacteria         5449        104            58        41    61   2    0    0   0       75.55            3.45              50.00          
  bin_56       Bacteria         5449        104            58        22    81   1    0    0   0       74.92            0.86               0.00          
  bin_11       Bacteria         5449        104            58        20    65   16   3    0   0       74.82           23.35               0.00          
  bin_12       Bacteria         5449        104            58        46    54   4    0    0   0       74.37            6.90              75.00          
  bin_62       Bacteria         5449        104            58        32    71   1    0    0   0       74.14            1.72              100.00         
  bin_65       Bacteria         5449        104            58        26    37   18   16   6   1       69.56           42.12               4.46          
  bin_40       Bacteria         5449        104            58        28    75   1    0    0   0       68.90            1.72               0.00          
  bin_19       Bacteria         5449        104            58        22    79   3    0    0   0       68.10            3.61              33.33          
  bin_85       Bacteria         5449        104            58        28    63   11   2    0   0       67.82           10.74               0.00          
  bin_28       Bacteria         5449        104            58        58    44   2    0    0   0       67.59            3.45              50.00          
  bin_25       Bacteria         5449        104            58        36    64   3    1    0   0       67.40            7.76               0.00          
  bin_3        Bacteria         5449        104            58        32    67   5    0    0   0       63.44            7.76              20.00          
  bin_98       Bacteria         5449        104            58        33    71   0    0    0   0       62.12            0.00               0.00          
  bin_87       Bacteria         5449        104            58        52    41   8    3    0   0       60.89           14.66              41.18          
  bin_101      Bacteria         5449        104            58        45    33   26   0    0   0       60.66           13.95              92.31          
  bin_52       Bacteria         5449        104            58        36    67   1    0    0   0       59.64            1.72               0.00          
  bin_60       Bacteria         5449        104            58        64    39   1    0    0   0       58.62            1.72               0.00          
  bin_99       Bacteria         5449        104            58        51    33   20   0    0   0       57.68           10.82              100.00         
  bin_78       Bacteria         5449        104            58        34    67   2    1    0   0       57.18            5.17               0.00          
  bin_54       Bacteria         5449        104            58        39    61   4    0    0   0       56.68            5.17               0.00          
  bin_20       Bacteria         5449        104            58        36    55   11   2    0   0       54.92            7.58               5.88          
  bin_58       Bacteria         5449        104            58        35    69   0    0    0   0       48.12            0.00               0.00          
  bin_26       Bacteria         5449        104            58        54    43   6    1    0   0       45.61           11.21              88.89          
  bin_88       Bacteria         5449        104            58        60    43   1    0    0   0       45.20            1.72               0.00          
  bin_30       Bacteria         5449        104            58        67    33   3    1    0   0       45.14            6.90              83.33          
  bin_71       Bacteria         5449        104            58        56    48   0    0    0   0       44.28            0.00               0.00          
  bin_0        Bacteria         5449        104            58        50    50   4    0    0   0       40.99            3.03              50.00          
  bin_51       Bacteria         5449        104            58        52    51   1    0    0   0       40.60            1.72               0.00          
  bin_96       Bacteria         5449        104            58        62    41   1    0    0   0       40.28            1.72              100.00         
  bin_18       Bacteria         5449        104            58        59    44   1    0    0   0       39.58            1.72               0.00          
  bin_95       Bacteria         5449        104            58        65    39   0    0    0   0       36.52            0.00               0.00          
  bin_103      Bacteria         5449        104            58        54    47   0    2    1   0       35.86           12.07              50.00          
  bin_43       Bacteria         5449        104            58        66    34   3    1    0   0       32.60            0.78              66.67          
  bin_2        Bacteria         5449        104            58        64    40   0    0    0   0       31.19            0.00               0.00          
  bin_17       Bacteria         5449        104            58        67    35   1    0    1   0       29.62            6.90              28.57          
  bin_69       Bacteria         5449        104            58        51    53   0    0    0   0       25.71            0.00               0.00          
  bin_15       Bacteria         5449        104            58        66    38   0    0    0   0       20.53            0.00               0.00          
--------------------------------------------------------------------------------------------------------------------------------------------------------
