contig,length
contig_1037,1076
contig_10370,1907
contig_10371,3663
contig_10372,10366
contig_10373,8586
contig_10374,9952
contig_10375,7005
contig_10376,4945
contig_10377,6617
contig_10378,14380
contig_1038,959
contig_10380,946
contig_10381,5941
contig_10382,8689
contig_10383,1169
contig_10384,4561
contig_10385,5963
contig_10386,14578
contig_10387,14271
contig_10388,6685
contig_10389,9177
contig_1039,767
contig_10390,14407
contig_10391,7036
contig_10392,11451
contig_10393,12776
contig_10394,9885
contig_10395,35648
contig_10396,7491
contig_10397,2524
contig_10399,10783
contig_104,7955
contig_1040,1138
contig_10400,26105
contig_10401,2737
contig_10402,4687
contig_10403,56195
contig_10404,15791
contig_10405,9340
contig_10406,2634
contig_10407,2937
contig_10408,4816
contig_10409,4929
contig_10410,8164
contig_10411,4169
contig_10412,7936
contig_10413,7369
contig_10414,24772
contig_10415,2682
contig_10416,1170
contig_10417,3060
contig_10418,21506
contig_1042,1086
contig_10420,49570
contig_10422,2061
contig_10423,526
contig_10424,1034
contig_10425,1309
contig_10426,1036
contig_10427,21718
contig_10428,7701
contig_10429,631
contig_1043,972
contig_10430,622
contig_10431,7046
contig_10432,2980
contig_10433,7473
contig_10435,9681
contig_10436,37638
contig_10437,2794
contig_10438,32038
contig_10439,33871
contig_1044,965
contig_10440,7019
contig_10441,9838
contig_10442,3851
contig_10443,13947
contig_10444,11800
contig_10445,2969
contig_10446,7782
contig_10447,18166
contig_10448,7303
contig_10449,95014
contig_10450,6775
contig_10451,2428
contig_10452,3455
contig_10453,3655
contig_10454,7137
contig_10456,4932
contig_10457,4386
contig_10458,4768
contig_10459,2359
contig_1046,839
contig_10460,24843
contig_10461,12974
contig_10462,10224
contig_10463,37104
contig_10464,10972
contig_10465,1165
contig_10466,4448
contig_10467,9433
contig_10468,3246
contig_10469,5438
contig_1047,4410
contig_10470,8260
contig_10471,9059
contig_10472,8973
contig_10473,6774
contig_10474,7704
contig_10475,4855
contig_10476,7437
contig_10477,19457
contig_10478,3714
contig_10481,13463
contig_10482,19753
contig_10483,4446
contig_10484,4858
contig_10485,4312
contig_10486,5465
contig_10487,6902
contig_10488,17532
contig_10489,16225
contig_1049,1133
contig_10491,6870
contig_10492,14515
contig_10493,9583
contig_10494,18006
contig_10495,5890
contig_10496,18393
contig_10497,2913
contig_10498,13671
contig_10499,5160
contig_105,9320
contig_1050,553
contig_10500,2617
contig_10501,8161
contig_10502,12802
contig_10503,8106
contig_10504,312258
contig_10505,15124
contig_10506,8267
contig_10507,8397
contig_10508,7490
contig_10509,3309
contig_1051,1493
contig_10510,2622
contig_10511,7736
contig_10512,998
contig_10513,7129
contig_10514,5672
contig_10515,3392
contig_10516,30511
contig_10517,7178
contig_10518,4910
contig_10519,3685
contig_1052,1126
contig_10520,7190
contig_10521,16407
contig_10522,19205
contig_10523,6248
contig_10524,3585
contig_10525,9684
contig_10526,13132
contig_10527,5090
contig_10528,6881
contig_10529,6982
contig_1053,3607
contig_10530,1740
contig_10531,3442
contig_10532,10698
contig_10533,3719
contig_10534,23610
contig_10535,10013
contig_10537,9605
contig_10538,26759
contig_10539,7846
contig_1054,2494
contig_10540,9963
contig_10541,7313
contig_10542,2775
contig_10543,7712
contig_10547,15545
contig_10548,15347
contig_10549,15906
contig_1055,2888
contig_10551,2416
contig_10552,4540
contig_10553,13456
contig_10554,16044
contig_10555,4507
contig_10556,3271
contig_10557,4013
contig_10558,20305
contig_10559,4406
contig_1056,3461
contig_10560,1823
contig_10561,3618
contig_10562,3751
contig_10563,28612
contig_10564,3395
contig_10565,6676
contig_10566,3614
contig_10567,4122
contig_10568,8218
contig_10569,2675
contig_1057,520
contig_10570,3238
contig_10571,3297
contig_10572,7960
contig_10573,2500
contig_10574,6438
contig_10575,27508
contig_10576,35386
contig_10577,21408
contig_10578,68512
contig_10579,2413
contig_1058,1335
contig_10580,9038
contig_10581,14717
contig_10582,4253
contig_10583,34487
contig_10585,14636
contig_10586,3710
contig_10587,6638
contig_10588,9838
contig_10589,998
contig_10590,2559
contig_10591,7182
contig_10592,4364
contig_10593,4262
contig_10594,6425
contig_10595,4512
contig_10596,7354
contig_10597,15558
contig_10598,7616
contig_10599,38306
contig_106,2114
contig_1060,576
contig_10600,23582
contig_10602,3793
contig_10603,2346
contig_10604,2529
contig_10605,5880
contig_10606,11212
contig_10607,15713
contig_10608,8203
contig_10609,10268
contig_1061,794
contig_10610,5014
contig_10612,5104
contig_10613,6439
contig_10614,24711
contig_10615,17840
contig_10616,50443
contig_10617,9829
contig_10618,24556
contig_10619,20649
contig_10620,6941
contig_10621,13443
contig_10622,898
contig_10623,9909
contig_10624,4320
contig_10625,9608
contig_10626,3488
contig_10627,2820
contig_10628,3417
contig_10629,26120
contig_1063,585
contig_10630,18341
contig_10631,12763
contig_10632,6420
contig_10633,12932
contig_10634,2912
contig_10635,2805
contig_10636,6660
contig_10637,18954
contig_10638,8393
contig_10639,13181
contig_10640,17593
contig_10641,17015
contig_10642,14872
contig_10643,2802
contig_10644,10969
contig_10645,6715
contig_10646,5147
contig_10647,6854
contig_10648,4057
contig_1065,591
contig_10650,660
contig_10651,8945
contig_10652,4724
contig_10653,2819
contig_10654,14386
contig_10655,3714
contig_10656,2077
contig_10657,28080
contig_10658,2169
contig_10659,3536
contig_1066,464
contig_10660,1504
contig_10661,3863
contig_10662,1134
contig_10663,1401
contig_10664,3221
contig_10665,13354
contig_10666,1194
contig_10667,529
contig_10668,6365
contig_10669,11533
contig_1067,613
contig_10670,2551
contig_10671,4034
contig_10672,61386
contig_10673,3941
contig_10674,4140
contig_10675,811
contig_10676,6187
contig_10677,6354
contig_10678,4607
contig_10679,5728
contig_10680,5819
contig_10681,5120
contig_10682,3613
contig_10683,3422
contig_10684,106410
contig_10685,6101
contig_10688,13414
contig_10689,11835
contig_10690,14202
contig_10691,7938
contig_10692,11150
contig_10693,81314
contig_10694,713
contig_10695,16325
contig_10696,784
contig_10697,3008
contig_10698,6992
contig_10699,851
contig_10701,4014
contig_10702,6768
contig_10703,3355
contig_10704,1366
contig_10705,4040
contig_10706,2956
contig_10707,3924
contig_10708,5824
contig_10709,1395
contig_1071,794
contig_10710,33932
contig_10711,4334
contig_10712,3401
contig_10713,4557
contig_10714,2265
contig_10715,2840
contig_10716,1918
contig_10717,18367
contig_10718,11941
contig_10719,5203
contig_10720,9822
contig_10721,8281
contig_10722,1577
contig_10723,5561
contig_10724,17474
contig_10725,40672
contig_10726,4117
contig_10727,65762
contig_10728,9038
contig_10729,15234
contig_1073,531
contig_10730,10613
contig_10731,2990
contig_10732,3977
contig_10733,3095
contig_10734,4408
contig_10735,43912
contig_10736,13507
contig_10738,6799
contig_10739,37030
contig_1074,890
contig_10740,5060
contig_10741,5386
contig_10742,2824
contig_10743,4144
contig_10744,9932
contig_10745,5785
contig_10746,7011
contig_10747,6867
contig_10748,3573
contig_10749,4327
contig_1075,755
contig_10750,2642
contig_10751,5291
contig_10752,4450
contig_10753,7912
contig_10754,5573
contig_10755,4401
contig_10756,2712
contig_10757,7756
contig_10758,14320
contig_10759,8731
contig_1076,847
contig_10760,5063
contig_10761,2939
contig_10762,1635
contig_10763,2135
contig_10764,3535
contig_10765,4114
contig_10767,15215
contig_10768,4779
contig_10770,6690
contig_10771,2532
contig_10772,7340
contig_10773,4425
contig_10774,5142
contig_10775,5430
contig_10777,2829
contig_10778,8299
contig_10779,12879
contig_1078,958
contig_10780,14153
contig_10781,2897
contig_10783,6483
contig_10784,4901
contig_10785,3856
contig_10786,14645
contig_10787,6025
contig_10788,5108
contig_10789,7408
contig_1079,753
contig_10790,9416
contig_10791,4517
contig_10792,2216
contig_10793,7648
contig_10794,9033
contig_10795,7429
contig_10796,5003
contig_10797,7559
contig_10798,2824
contig_10799,6454
contig_1080,870
contig_10800,9570
contig_10801,1910
contig_10802,518
contig_10803,19336
contig_10804,1034
contig_10807,12779
contig_1081,642
contig_10810,26729
contig_10811,5772
contig_10812,10824
contig_10813,4768
contig_10814,21704
contig_10815,3483
contig_10816,3657
contig_10817,518
contig_10818,43127
contig_10819,4563
contig_1082,4440
contig_10820,3872
contig_10821,3403
contig_10822,15984
contig_10823,11390
contig_10824,16473
contig_10825,6811
contig_10826,3226
contig_10827,9221
contig_10828,11085
contig_10829,5516
contig_1083,587
contig_10830,3138
contig_10831,21375
contig_10832,13478
contig_10833,26907
contig_10834,5446
contig_10835,8821
contig_10836,5571
contig_10837,4476
contig_10838,11208
contig_10839,7073
contig_10840,5694
contig_10841,8598
contig_10842,5884
contig_10843,3680
contig_10844,3889
contig_10845,7086
contig_10846,3871
contig_10847,8690
contig_10848,5443
contig_10849,21035
contig_10850,9783
contig_10851,4461
contig_10852,5610
contig_10853,13511
contig_10854,6786
contig_10855,4505
contig_10856,4002
contig_10857,14644
contig_10858,8055
contig_10859,4249
contig_1086,749
contig_10860,7038
contig_10861,729
contig_10862,12576
contig_10863,6124
contig_10864,727
contig_10865,7339
contig_10866,10254
contig_10867,6178
contig_10868,84672
contig_10869,5353
contig_1087,520
contig_10870,3321
contig_10871,1654
contig_10872,4020
contig_10873,6079
contig_10874,6039
contig_10875,11978
contig_10876,3767
contig_10877,23725
contig_10878,4539
contig_10879,8285
contig_10880,25964
contig_10881,3539
contig_10882,25410
contig_10883,36287
contig_10884,15744
contig_10885,8751
contig_10886,11794
contig_10887,3237
contig_10888,9665
contig_10889,22578
contig_1089,561
contig_10890,12689
contig_10891,13921
contig_10892,3711
contig_10893,6488
contig_10894,3214
contig_10895,92281
contig_10896,9313
contig_10897,3383
contig_10898,2107
contig_10899,5590
contig_109,13683
contig_10900,4334
contig_10901,2857
contig_10904,3910
contig_10905,1946
contig_10906,3542
contig_10907,2498
contig_10908,1486
contig_10909,4904
contig_1091,747
contig_10910,5060
contig_10911,10792
contig_10913,3256
contig_10914,27817
contig_10915,3329
contig_10916,11303
contig_10917,8982
contig_10918,11759
contig_10919,7789
contig_10920,8384
contig_10922,14934
contig_10923,2703
contig_10924,26280
contig_10925,11977
contig_10926,3220
contig_10927,14347
contig_10928,2029
contig_10929,9839
contig_1093,1092
contig_10930,11336
contig_10931,3040
contig_10932,6164
contig_10933,3951
contig_10934,9585
contig_10935,1631
contig_10936,11660
contig_10939,2165
contig_1094,1132
contig_10941,528
contig_10942,17060
contig_10943,4342
contig_10944,5284
contig_10945,2437
contig_10946,23756
contig_10947,19784
contig_10948,2824
contig_10949,5450
contig_10950,16913
contig_10951,13455
contig_10952,9244
contig_10953,7422
contig_10954,39086
contig_10955,16265
contig_10956,3314
contig_10957,6375
contig_10958,2264
contig_10959,6666
contig_1096,4727
contig_10960,7740
contig_10961,15458
contig_10962,4886
contig_10963,4936
contig_10964,2714
contig_10965,14580
contig_10966,3615
contig_10967,1645
contig_10968,7539
contig_10969,4600
contig_1097,1607
contig_10971,5744
contig_10972,5230
contig_10973,1370
contig_10975,4990
contig_10976,13310
contig_10977,9190
contig_10978,10995
contig_10979,5037
contig_10980,19746
contig_10981,15631
contig_10982,533
contig_10983,3697
contig_10984,8816
contig_10985,4755
contig_10986,2966
contig_10987,3708
contig_10988,13138
contig_10989,11514
contig_1099,538
contig_10990,2327
contig_10991,4605
contig_10992,6961
contig_10993,3108
contig_10994,8410
contig_10995,3101
contig_10996,3947
contig_10997,11726
contig_10998,2650
contig_10999,12655
contig_11,1310
contig_110,67009
contig_11000,5733
contig_11003,2645
contig_11004,11046
contig_11005,13067
contig_11007,9213
contig_11008,2542
contig_11009,14621
contig_1101,681
contig_11010,3647
contig_11011,8471
contig_11012,2321
contig_11013,5243
contig_11014,3153
contig_11015,15305
contig_11016,3985
contig_11017,4562
contig_11018,6103
contig_11019,2171
contig_1102,566
contig_11020,11330
contig_11021,49043
contig_11022,3299
contig_11023,3087
contig_11024,8071
contig_11025,5228
contig_11026,8744
contig_11027,28537
contig_11028,2947
contig_11029,114017
contig_11030,5171
contig_11031,3085
contig_11032,9043
contig_11033,2085
contig_11034,3091
contig_11035,145973
contig_11036,5466
contig_11037,2826
contig_11038,517
contig_11039,534
contig_1104,609
contig_11040,6276
contig_11041,6279
contig_11043,3254
contig_11044,9860
contig_11045,3226
contig_11046,6235
contig_11047,20634
contig_11048,6308
contig_1105,865
contig_11050,9689
contig_11051,3342
contig_11053,2858
contig_11054,6710
contig_11055,8201
contig_11056,1789
contig_11057,5495
contig_11058,2134
contig_11059,3315
contig_1106,1530
contig_11060,2239
contig_11061,8281
contig_11062,10979
contig_11063,2654
contig_11064,2754
contig_11065,5335
contig_11066,2666
contig_11067,7543
contig_11069,3633
contig_1107,542
contig_11070,7008
contig_11071,12415
contig_11072,10941
contig_11073,508
contig_11074,3141
contig_11075,1575
contig_11076,527
contig_11077,10515
contig_11078,570
contig_11079,2681
contig_11080,52112
contig_11081,1872
contig_11082,3241
contig_11083,2319
contig_11084,16223
contig_11085,3128
contig_11086,1951
contig_11087,1543
contig_11088,2590
contig_11089,8743
contig_11090,4965
contig_11091,2837
contig_11092,5314
contig_11093,1586
contig_11094,6041
contig_11095,1548
contig_11096,1261
contig_11097,8523
contig_11098,3236
contig_11099,4786
contig_111,52106
contig_1110,3671
contig_11100,6558
contig_11101,5406
contig_11102,4150
contig_11103,4551
contig_11104,6454
contig_11105,7519
contig_11106,5487
contig_11107,4649
contig_11108,1256
contig_11109,15195
contig_11110,12215
contig_11111,8598
contig_11112,2985
contig_11113,7477
contig_11114,3934
contig_11115,11334
contig_11116,2768
contig_11117,4905
contig_11118,9791
contig_11119,3766
contig_1112,1650
contig_11120,10304
contig_11121,24107
contig_11122,2541
contig_11123,11904
contig_11124,8965
contig_11125,4187
contig_11126,3048
contig_11127,1680
contig_11128,2472
contig_11129,7262
contig_1113,706
contig_11132,3309
contig_11133,9865
contig_11134,17740
contig_11135,22490
contig_11136,6173
contig_11137,7864
contig_11138,3381
contig_11139,5315
contig_1114,450
contig_11140,8487
contig_11141,2730
contig_11142,9984
contig_11143,6234
contig_11144,15481
contig_11145,6832
contig_11146,6630
contig_11147,3700
contig_11148,4712
contig_11149,3709
contig_11150,9889
contig_11151,2833
contig_11152,9873
contig_11153,2533
contig_11154,3465
contig_11155,8460
contig_11156,12755
contig_11157,5558
contig_11158,1951
contig_11159,3014
contig_11160,7163
contig_11162,3784
contig_11165,9277
contig_11166,2523
contig_11167,31946
contig_11168,11582
contig_11169,6307
contig_1117,566
contig_11170,3477
contig_11171,22145
contig_11172,12644
contig_11173,4013
contig_11174,4795
contig_11175,9007
contig_11176,4438
contig_11177,4071
contig_11178,5069
contig_11179,8557
contig_1118,4457
contig_11180,13011
contig_11181,3073
contig_11182,4124
contig_11183,7567
contig_11184,3864
contig_11185,17374
contig_11186,66455
contig_11187,4779
contig_11188,3986
contig_11189,9292
contig_1119,2700
contig_11190,3668
contig_11191,5752
contig_11192,5545
contig_11193,14845
contig_11194,18969
contig_11195,10496
contig_11196,16890
contig_11197,8119
contig_11198,8388
contig_11199,4622
contig_112,23439
contig_1120,1479
contig_11200,12844
contig_11201,4546
contig_11202,9347
contig_11205,5735
contig_11206,6857
contig_11207,31086
contig_11208,29077
contig_11209,3465
contig_1121,686
contig_11210,9187
contig_11211,17764
contig_11212,772
contig_11213,4821
contig_11214,5269
contig_11215,3388
contig_11217,28702
contig_11218,1764
contig_11219,3918
contig_1122,2691
contig_11220,7533
contig_11221,9248
contig_11222,5811
contig_11223,4888
contig_11224,7753
contig_11225,4600
contig_11226,3502
contig_11227,17902
contig_11228,6070
contig_11229,3596
contig_1123,984
contig_11230,2144
contig_11231,54896
contig_11232,6205
contig_11233,10965
contig_11235,17376
contig_11236,10071
contig_11237,12548
contig_11238,4751
contig_11239,11403
contig_1124,546
contig_11240,19604
contig_11241,10332
contig_11242,26843
contig_11243,45939
contig_11244,5943
contig_11245,9254
contig_11246,9588
contig_11248,8432
contig_11249,31407
contig_1125,2094
contig_11250,39393
contig_11251,35248
contig_11252,5783
contig_11253,8211
contig_11254,7314
contig_11255,11140
contig_11256,22712
contig_11257,9434
contig_11258,8772
contig_11259,6879
contig_11260,4580
contig_11261,7887
contig_11262,10675
contig_11264,35390
contig_11265,2178
contig_11267,7923
contig_11268,12858
contig_11269,640
contig_1127,477
contig_11270,4664
contig_11271,7330
contig_11272,3928
contig_11273,8258
contig_11274,25799
contig_11275,5081
contig_11276,8571
contig_11277,3429
contig_11278,801
contig_11279,2196
contig_1128,630
contig_11280,4430
contig_11281,3538
contig_11282,4742
contig_11283,9770
contig_11284,4322
contig_11285,5732
contig_11286,4878
contig_11287,2800
contig_11288,4734
contig_11289,28159
contig_1129,1742
contig_11290,2830
contig_11291,8643
contig_11292,17505
contig_11293,5043
contig_11294,3878
contig_11295,16170
contig_11296,16064
contig_11297,824
contig_113,9835
contig_1130,2137
contig_11300,566
contig_11301,581
contig_11303,17199
contig_11304,2584
contig_11305,9054
contig_11306,766
contig_11308,1456
contig_11309,3899
contig_11310,3568
contig_11311,3870
contig_11312,1022
contig_11313,7388
contig_11314,6002
contig_11315,6552
contig_11316,12649
contig_11317,559
contig_1132,982
contig_11320,36128
contig_11321,15836
contig_11322,9071
contig_11323,792
contig_11324,5490
contig_11325,4277
contig_11326,14238
contig_11327,2224
contig_11328,10050
contig_11329,6624
contig_1133,18
contig_11330,729
contig_11331,3076
contig_11332,6886
contig_11333,16351
contig_11334,3817
contig_11335,1637
contig_11336,13834
contig_11337,9600
contig_11338,10797
contig_11339,4037
contig_1134,707
contig_11340,10291
contig_11341,23659
contig_11342,10291
contig_11343,982
contig_11344,7631
contig_11345,5451
contig_11346,2712
contig_11348,3591
contig_11349,2716
contig_11350,3241
contig_11351,18630
contig_11352,7165
contig_11353,5430
contig_11354,5632
contig_11355,7645
contig_11356,1737
contig_11357,687
contig_11358,15343
contig_11359,6812
contig_11360,4287
contig_11361,2500
contig_11362,5578
contig_11363,8221
contig_11364,6427
contig_11365,7779
contig_11366,12918
contig_11367,30269
contig_11368,11045
contig_11369,13058
contig_1137,757
contig_11370,5681
contig_11371,8981
contig_11372,10995
contig_11373,3122
contig_11374,4148
contig_11375,8160
contig_11376,9825
contig_11377,5029
contig_11378,3390
contig_11379,2351
contig_1138,1008
contig_11380,3038
contig_11381,8601
contig_11382,6472
contig_11383,21909
contig_11384,3875
contig_11385,3116
contig_11386,329326
contig_11387,3050
contig_11388,708
contig_11389,4233
contig_1139,23
contig_11390,7117
contig_11391,2510
contig_11392,6169
contig_11393,7681
contig_11394,5166
contig_11395,12603
contig_11396,2174
contig_11397,686
contig_11398,531
contig_11399,6473
contig_1140,1000
contig_11400,1374
contig_11401,2224
contig_11402,2518
contig_11403,2089
contig_11404,42933
contig_11405,2418
contig_11406,8580
contig_11407,6978
contig_11408,2989
contig_11409,268508
contig_1141,733
contig_11410,6500
contig_11411,15971
contig_11412,588
contig_11413,3456
contig_11414,1398
contig_11415,6344
contig_11416,35540
contig_11417,8425
contig_11418,668
contig_11419,2850
contig_1142,837
contig_11420,9808
contig_11421,5759
contig_11422,11302
contig_11423,5211
contig_11424,12780
contig_11425,4256
contig_11426,5975
contig_11427,12409
contig_11428,6662
contig_11429,12731
contig_1143,605
contig_11430,23579
contig_11431,4727
contig_11432,2309
contig_11433,13331
contig_11434,8807
contig_11436,13650
contig_11437,6593
contig_11438,7061
contig_11439,37221
contig_1144,1193
contig_11440,3459
contig_11441,1331
contig_11443,3490
contig_11444,8334
contig_11445,2723
contig_11446,5758
contig_11447,10314
contig_11448,2792
contig_11449,4689
contig_11450,4633
contig_11451,8454
contig_11452,5974
contig_11453,9853
contig_11454,3874
contig_11455,762
contig_11456,1124
contig_11457,85294
contig_11458,5300
contig_11459,2191
contig_1146,2077
contig_11460,10764
contig_11461,7382
contig_11462,5443
contig_11464,5500
contig_11465,68997
contig_11466,836
contig_11467,723
contig_11468,9229
contig_11469,3642
contig_1147,693
contig_11470,4452
contig_11471,2650
contig_11472,2280
contig_11473,1715
contig_11474,5857
contig_11475,13293
contig_11476,9185
contig_11477,11587
contig_11478,6893
contig_11479,12970
contig_1148,686
contig_11480,7640
contig_11481,23635
contig_11482,7808
contig_11483,7233
contig_11484,6553
contig_11485,4837
contig_11486,4530
contig_11487,3802
contig_11488,10181
contig_11489,2494
contig_11490,5369
contig_11491,19262
contig_11492,29066
contig_11494,14187
contig_11495,13047
contig_11496,14932
contig_11497,5818
contig_11498,9060
contig_11499,10364
contig_115,10500
contig_1150,3535
contig_11500,2485
contig_11501,4536
contig_11502,2815
contig_11503,13430
contig_11504,4326
contig_11505,7868
contig_11506,5039
contig_11507,3266
contig_11508,20962
contig_11509,30464
contig_1151,852
contig_11510,9582
contig_11511,11850
contig_11512,11162
contig_11513,23299
contig_11514,4381
contig_11515,5720
contig_11516,2787
contig_11517,2436
contig_11518,10824
contig_11519,8409
contig_11520,2658
contig_11521,2355
contig_11522,11469
contig_11523,8031
contig_11524,122202
contig_11525,7700
contig_11526,6050
contig_11527,1141
contig_11528,4070
contig_11529,6697
contig_1153,674
contig_11530,4405
contig_11531,1122
contig_11532,2614
contig_11533,7170
contig_11534,13802
contig_11535,13372
contig_11536,4671
contig_11537,23574
contig_11538,7618
contig_11539,4293
contig_1154,798
